rank,ts_code,name,trade_date,fin_end_date,ind_end_date,close,mkt_cap_yuan,pe_ttm,pb,ps_ttm,dv_ttm,revenue,net_profit,revenue_yoy,net_profit_yoy,revenue_cagr_3y,net_profit_cagr_3y,roe,roic,grossprofit_margin,ocf_to_profit,debt_to_assets,current_ratio,cfo_np_ratio,net_cash_to_mcap,growth_score,quality_score,valuation_score,risk_score,total_score,focus_flag
21,688766.SH,普冉股份,20260421,20251231,20250930,275.1,40728307960.0,196.2615,16.8461,17.5572,0.1112,2319754086.04,207520637.42,0.28620154525139174,-0.29032529598493517,0.35871055570369004,0.35645701771390104,2.6302,1.8694,29.9642,117.2701,13.2895,5.9086,0.3964489905333677,0.023073643276881172,65.14224598930481,44.509803921568626,24.536301006889243,57.647058823529406,48.67542419424772,1
22,688589.SH,力合微,20260421,20251231,20250930,22.28,3237919381.0000005,157.4327,3.395,9.0475,1.1188,357880254.77,20567009.2,-0.34792375073731807,-0.7561320551878772,-0.10774986765381633,-0.35052517863367394,2.1103,2.3537,46.2673,218.2923,30.0932,10.8618,3.5957851518829487,0.10476966157052073,11.70374331550802,69.41176470588235,54.57074721780604,55.68627450980392,47.072331261743024,0
23,301536.SZ,星宸科技,20260421,20251231,20250930,81.35,34306534123.0,111.252,10.598,11.543,0.2455,2972063050.67,308367801.59,0.2628107096348704,0.2033401596974611,0.07874965192377847,-0.18244556397812306,6.637,6.1339,33.4187,163.5269,32.9332,2.2521,1.4476868474535214,-0.01615894513833574,45.97254901960785,59.25490196078431,44.54160042395336,21.37254901960785,46.64518282988871,1
24,688259.SH,创耀科技,20260421,20241231,20250930,37.21,4156357000.0,52.4404,2.676,11.4879,0.654,592056953.39,60474765.25,-0.10444371704723088,0.03483293186063152,-0.025957470155231643,-0.08401783692593734,4.4332,2.9751,30.7618,72.0748,13.2125,6.4757,-1.4357301218296172,0.006383976032376429,34.78110516934046,35.450980392156865,72.01907790143085,52.94117647058824,45.18716673893144,0
25,300327.SZ,中颖电子,20260421,20251231,20250930,26.52,9053136961.0,150.4754,5.0872,7.0497,0.75,1284188766.88,60163558.88,-0.04411051984821435,-0.5514441005866928,-0.07103713299765846,-0.42890211900650965,3.2676,1.0448,32.4519,635.871,18.5946,3.2332,3.2417082956978156,0.027698162167459562,14.589304812834225,59.725490196078425,56.66401695813461,45.68627450980392,43.466457580575224,1
26,688728.SH,格科微,20260421,20241231,20250930,13.27,34509785071.0,685.0931,4.3921,4.4347,0.1639,6383250681.0,186805894.0,0.3589544738203214,2.8720261528459385,-0.030302342362160006,-0.47051718781823637,0.6436,1.5903,20.6962,4027.306,66.6615,1.2256,5.125496538133856,-0.17934185134061914,42.420320855614975,47.882352941176464,44.85956544780074,3.3333333333333317,38.9568328756564,1
27,688385.SH,复旦微电,20260421,20251231,20250930,76.52,63030997010.0,271.2906,10.2071,15.8279,0.1041,3982261101.52,232337565.04,0.10919577498411193,-0.5942375956265583,0.04012799008023804,-0.40022415820266477,5.4725,3.8942,58.4719,135.9869,26.6605,3.8287,3.3751028253868287,-0.0002284848698762491,19.981818181818184,63.13725490196078,27.835188129305777,29.215686274509807,38.041975237269355,1
28,301308.SZ,江波龙,20260421,20241231,20250930,375.96,157581854581.0,240.8133,20.9347,7.5291,,17463650272.14,498684535.69,0.7247859029350749,-1.6024147115860834,0.2144912054373509,-0.21041444380879581,10.1843,5.8307,15.2855,99.1599,58.9347,1.6168,-2.3857595708152965,-0.032923300475456795,40.32121212121213,43.78431372549019,32.127715951245364,9.411764705882355,35.258181336416634,1
29,688709.SH,成都华微,20260421,20241231,20250930,43.83,27913005150.0,181.7188,9.384,36.7283,0.0456,603889863.51,122169852.8,-0.3478889519083057,-0.6072533136304414,-0.15445332797466305,-0.3408889693843111,2.2027,1.8958,71.3121,-665.4012,23.6775,5.1232,0.2084392609663519,0.022557199930155137,13.880570409982179,44.96078431372549,27.35824059353471,43.13725490196079,31.842681986799633,1
30,688256.SH,寒武纪,20260421,20251231,20250930,1330.0,560841276100.0,272.355,47.3837,86.3205,,6497196198.68,2059228538.67,4.5320504597507965,-5.552403153556813,1.0732862897602695,,19.1785,18.7793,55.2929,-1.825,10.1158,12.4831,-0.24203148298046698,0.0023488980447386155,,60.09803921568627,6.875993640699524,62.549019607843135,,1
31,688795.SH,摩尔线程-U,20260421,20241231,20250930,625.91,294195361302.0,,25.7265,195.4105,,438459518.72,-1618288299.52,2.5364804354831727,-0.049690073839502524,2.084391325327289,,-17.1695,-11.4429,61.8698,,41.5939,2.8733,1.2077630729949207,0.011562197944882672,,,,26.86274509803922,,0
32,688802.SH,沐曦股份-U,20260421,20251231,20250930,697.73,279161773000.0,,21.2041,169.7976,,1644085465.86,-789446296.82,1.2125532788496662,-0.43966367730212985,4.568492133289922,,-6.4436,-6.0292,55.7551,,5.9534,17.6566,1.5961463102629592,0.02407460730244753,,,,80.58823529411764,,0
33,688525.SH,佰维存储,20260421,20251231,20250930,275.96,129932098491.99998,32.8983,15.2644,7.8398,,11302479960.23,853035235.09,0.6881504937375993,4.290686621235424,0.5585098301454132,1.2880081766906426,0.8583,0.7493,13.9101,,64.1812,1.6283,-2.3040839023520903,-0.03999372124263775,96.23529411764706,,71.92633810280869,8.627450980392156,,1
34,688521.SH,芯原股份,20260421,20251231,20250930,233.06,122569813524.99998,,35.8422,38.8809,,3152444709.71,-527813327.29,0.3577089012259256,-0.12159850421954543,0.055744409018976926,,-12.2212,-7.7085,34.9534,,45.1864,2.2288,0.4200099588963147,0.0072056940604699376,,,,21.764705882352942,,0
35,001309.SZ,德明利,20260421,20251231,20250930,514.6,116734775607.0,169.5915,36.7244,10.8197,0.0777,10789100246.68,688329031.23,1.26065911672422,0.9635478152008792,1.084808871227573,1.1718365562577886,-1.0983,0.6457,7.1626,,73.2755,1.5969,-3.2555552162396335,-0.03185197300415281,93.47807486631017,,29.199788023317435,5.686274509803922,,1
36,688702.SH,盛科通信-U,20260421,20241231,20250930,224.5,92045000000.0,,41.2435,80.0022,,1081826709.25,-68264740.43,0.042808963794480404,2.49523878544045,0.33119078698061366,,0.3979,0.2124,49.1458,2674.6566,11.8541,11.4447,-2.551956913227217,0.007292987073713945,,46.90196078431372,,61.96078431372548,,0
37,688047.SH,龙芯中科,20260421,20241231,20250930,139.77,56047770000.0,,22.3492,88.2197,,504257187.54,-625347147.32,-0.0028420240128689267,0.8982137195240218,-0.25124612083163,,-14.3409,-14.5173,42.3689,,18.4258,6.1578,0.5357186798176438,0.008009467611111022,,,,44.31372549019608,,0
38,688110.SH,东芯股份,20260421,20241231,20250930,116.28,51424801860.0,,15.0438,55.8101,,640953547.07,-167141889.91,0.2080055600663635,-0.45423001771791716,-0.17326067082913288,,-4.6261,-5.1468,21.9227,,5.2125,19.1584,1.6611026566679319,0.013810962378105699,,,,79.41176470588235,,0
39,688213.SH,思特威-W,20260421,20251231,20250930,92.45,37193261349.0,37.1469,7.119,4.1183,0.2967,9031240394.26,1001246790.35,0.5132400359395886,1.549395351344808,0.5378865577176899,,15.3357,9.2525,23.4753,-134.3153,52.8342,1.7574,0.10771454664269126,-0.04071733673903048,,46.372549019607845,81.84949655537892,10.392156862745097,,1
40,300672.SZ,国科微,20260421,20241231,20250930,164.5,35713353354.0,1034.0107,8.7774,18.3348,0.1815,1977891796.4,97154701.52,-0.532552845277825,0.011271192442285694,-0.052047635803062375,-0.30791379704438726,0.1813,-0.5637,25.7477,,46.6389,1.5436,-0.490949690583744,-0.02800918210801291,23.563279857397507,,21.939586645468996,12.745098039215685,,1
41,688807.SH,优迅股份,20260421,20241231,20250930,344.0,27520000000.0,312.2799,15.584,56.6104,,410559117.39,77866366.08,0.3111317872933719,0.08022492374629175,,,9.4891,8.5854,44.1523,186.8669,7.4345,11.93,0.05025231248084462,0.0024727456344476742,,64.74509803921569,12.387387387387387,67.25490196078431,,1
42,688449.SH,联芸科技,20260421,20241231,20250930,47.48,21840800000.0,153.637,11.4608,16.4572,,1173783923.29,118058640.59,0.13547718695734634,1.260376449224399,0.43114133859979065,,5.0744,4.634,51.3986,120.477,19.0171,5.454,-0.1911610138590026,0.05030032069017619,,59.509803921568626,36.19501854795972,52.941176470588225,,1
43,688593.SH,新相微,20260421,20241231,20250930,31.73,14580868243.0,1633.3081,9.4318,23.7772,,507399919.88,8432883.61,0.05609891551652324,-0.6937847159394056,0.03952450572247379,-0.619183133113038,0.5236,-0.848,14.2051,,14.276,6.1747,-7.929317830345343,0.05679976141596358,13.88663101604278,,16.666666666666664,62.549019607843135,,1
44,300077.SZ,国民技术,20260421,20251231,20250930,21.14,14335598438.0,,8.1835,10.5388,,1360265565.1,-115418159.63,0.1650595331224376,-0.5095734886074454,0.044003991159242695,,-7.5589,-1.058,20.0191,,72.6151,0.9789,-0.005845049272685236,-0.07199475391094937,,,,2.5490196078431393,,0
45,300053.SZ,航宇微,20260421,20241231,20250930,18.9,13170924705.0,,9.1925,47.5265,,212078621.56,-294220898.24,-0.39863718019062533,-0.30827512455674555,-0.32708477574472095,,-4.1717,-3.3625,42.3066,,30.6809,1.624,-0.37099414029713623,-0.005199658218682375,,,,20.98039215686274,,0
46,688107.SH,安路科技,20260421,20251231,20250930,30.11,12069574439.999998,,12.7921,23.2109,,519996525.11,-272449975.33,-0.2022353387817224,0.328105524270774,-0.20681171081690308,,-17.0731,-16.8831,43.8563,,12.7253,8.1843,0.4719613938457977,0.005352903937183059,,,,56.66666666666668,,0
47,688262.SH,国芯科技,20260421,20241231,20250930,35.48,11921276913.0,,6.0662,22.4134,,574201841.27,-180590013.37,0.27777737923208723,0.07016099699602063,0.12120719612788688,,-5.9829,-7.6244,38.6322,,36.4778,1.9931,0.4231852226702119,0.026006288626004338,,,,31.960784313725494,,0
48,002213.SZ,大为股份,20260421,20251231,20250930,36.18,8592204406.0,,15.7791,7.0292,0.058,1222356156.91,-15621781.98,0.16742869781599823,-0.6772828973809819,0.13415743958568127,,-1.3385,-1.2613,4.075,,19.6947,3.0496,11.513760201638659,0.007024390528681285,,,,34.50980392156863,,0
49,688416.SH,恒烁股份,20260421,20241231,20250930,99.61,8268196681.0,,6.5156,17.4196,,372290141.86,-160998939.75,0.21727651380053548,-0.06742586600792966,-0.13531895920181625,,-7.2423,-7.1493,13.6967,,9.0598,12.6019,0.7579984509183701,0.031884654410290994,,,,76.27450980392156,,0
50,688595.SH,芯海科技,20260421,20251231,20250930,33.31,4799754751.0,,7.0748,5.6564,,848557310.67,-105440039.91,0.20824428895617264,-0.3900744541043961,0.11166597278635093,,-8.1569,-4.2725,35.4637,,50.7595,3.2519,0.4858871600743877,-0.04074185070586329,,,,13.92156862745098,,0
51,688620.SH,安凯微,20260421,20241231,20250930,12.03,4715760000.0,,3.6471,8.7824,,527091911.98,-56768164.61,-0.07936083873688626,-3.1147914693693104,0.007888373163881912,,-5.8986,-6.411,14.0302,,14.6148,5.1024,1.0567344430126715,0.021741338609259166,,,,49.019607843137244,,0
