ts_code,trade_date,pe_ttm,pb,ps_ttm,close,total_mv
300274.SZ,20230921,17.8946,5.4335,2.2281,84.91,12610417.0051
300274.SZ,20230922,17.9347,5.4457,2.233,85.1,12638634.8738
300274.SZ,20230925,17.8251,5.4124,2.2194,84.58,12561407.0227
300274.SZ,20230926,17.7071,5.3765,2.2047,84.02,12478238.5676
300274.SZ,20230927,18.4405,5.5992,2.296,87.5,12995071.11
300274.SZ,20230928,18.8641,5.7279,2.3488,89.51,13293586.4578
300274.SZ,20231009,18.8936,5.7368,2.3524,89.65,13314378.5716
300274.SZ,20231010,18.5669,5.6376,2.3118,88.1,13084180.169
300274.SZ,20231011,18.451,5.6024,2.2973,87.55,13002496.8649
300274.SZ,20231012,18.6765,5.6709,2.3254,88.62,13161408.0202
300274.SZ,20231013,18.4952,5.6159,2.3028,87.76,13033685.0356
300274.SZ,20231016,18.04,5.4776,2.2462,85.6,12712892.423
300274.SZ,20231017,17.7956,5.4034,2.2157,84.44,12540614.9089
300274.SZ,20231018,17.3656,5.2729,2.1622,82.4,12237644.1082
300274.SZ,20231019,17.2413,5.2351,2.1467,81.81,12150020.2001
300274.SZ,20231020,17.5764,5.3369,2.1884,83.4,12386159.2066
300274.SZ,20231023,16.8683,5.1219,2.1003,80.04,11887148.4759
300274.SZ,20231024,16.9336,5.1417,2.1084,80.35,11933188.1564
300274.SZ,20231025,16.6807,5.0649,2.0769,79.15,11754970.0384
300274.SZ,20231026,16.4594,4.9977,2.0494,78.1,11599029.185
300274.SZ,20231027,17.4626,5.3023,2.1743,82.86,12305961.0534
300274.SZ,20231030,14.75,5.0574,2.0039,86.96,12914872.9569
300274.SZ,20231031,14.2734,4.894,1.9392,84.15,12497545.5304
300274.SZ,20231101,13.9291,4.7759,1.8924,82.12,12196059.8806
300274.SZ,20231102,13.6204,4.6701,1.8504,80.3,11925762.4015
300274.SZ,20231103,14.1818,4.8626,1.9267,83.61,12417347.3772
300274.SZ,20231106,14.7551,5.0592,2.0046,86.99,12919328.4098
300274.SZ,20231107,15.0961,5.1761,2.0509,89.0,13217843.7576
300274.SZ,20231108,14.9977,5.1423,2.0376,88.42,13131705.0005
300274.SZ,20231109,15.2996,5.2458,2.0786,90.2,13396061.8757
300274.SZ,20231110,15.1062,5.1795,2.0523,89.06,13226754.6635
300274.SZ,20231113,15.1707,5.2016,2.0611,89.44,13283190.4009
300274.SZ,20231114,15.0435,5.158,2.0438,88.69,13171804.0771
300274.SZ,20231115,15.6049,5.3505,2.1201,92.0,13663389.0528
300274.SZ,20231116,14.8925,5.1063,2.0233,87.8,13039625.6395
300274.SZ,20231117,14.8349,5.0865,2.0154,87.46,12989130.5061
300274.SZ,20231120,14.9705,5.133,2.0339,88.26,13107942.5848
300274.SZ,20231121,15.0146,5.1481,2.0399,88.52,13146556.5104
300274.SZ,20231122,14.7178,5.0464,1.9995,86.77,12886655.0882
300274.SZ,20231123,14.7212,5.0475,2.0,86.79,12889625.3901
300274.SZ,20231124,14.3311,4.9138,1.947,84.49,12548040.6638
300274.SZ,20231127,14.1886,4.8649,1.9276,83.65,12423287.9812
300274.SZ,20231128,14.3006,4.9033,1.9429,84.31,12521307.9461
300274.SZ,20231129,13.9427,4.7806,1.8942,82.2,12207941.0885
300274.SZ,20231130,14.1123,4.8387,1.9173,83.2,12356456.1869
300274.SZ,20231201,14.1174,4.8405,1.918,83.23,12360911.6398
300274.SZ,20231204,13.9817,4.794,1.8995,82.43,12242099.5611
300274.SZ,20231205,13.578,4.6555,1.8447,80.05,11888633.6269
300274.SZ,20231206,13.8154,4.737,1.8769,81.45,12096554.7647
300274.SZ,20231207,13.4847,4.6236,1.832,79.5,11806950.3228
300274.SZ,20231208,13.4033,4.5956,1.821,79.02,11735663.0756
300274.SZ,20231211,13.5016,4.6294,1.8343,79.6,11821801.8326
300274.SZ,20231212,13.332,4.5712,1.8113,78.6,11673286.7342
300274.SZ,20231213,12.891,4.42,1.7514,76.0,11287147.4784
300274.SZ,20231214,12.9589,4.4433,1.7606,76.4,11346553.5178
300274.SZ,20231215,13.1319,4.5026,1.7841,77.42,11498038.9181
300274.SZ,20231218,12.9165,4.4287,1.7548,76.15,11309424.7432
300274.SZ,20231219,13.4762,4.6206,1.8309,79.45,11799524.5679
300274.SZ,20231220,13.4372,4.6073,1.8256,79.22,11765366.0952
300274.SZ,20231221,13.9579,4.7858,1.8963,82.29,12221307.4473
300274.SZ,20231222,14.08,4.8277,1.9129,83.01,12328238.3182
300274.SZ,20231225,13.9885,4.7963,1.9005,82.47,12248040.165
300274.SZ,20231226,14.0665,4.823,1.9111,82.93,12316357.1103
300274.SZ,20231227,13.8816,4.7596,1.8859,81.84,12154475.6531
300274.SZ,20231228,15.1639,5.1993,2.0602,89.4,13277249.797
300274.SZ,20231229,14.8569,5.0941,2.0184,87.59,13008437.4689
300274.SZ,20240102,14.4854,4.9667,1.968,85.4,12683189.4034
300274.SZ,20240103,14.4464,4.9533,1.9627,85.17,12649030.9307
300274.SZ,20240104,14.0207,4.8073,1.9048,82.66,12276258.0337
300274.SZ,20240105,13.5949,4.6614,1.847,80.15,11903485.1368
300274.SZ,20240108,13.6289,4.673,1.8516,80.35,11933188.1564
300274.SZ,20240109,13.9104,4.7695,1.8899,82.01,12179723.2198
300274.SZ,20240110,14.4922,4.969,1.9689,85.44,12689130.0073
300274.SZ,20240111,14.7399,5.0539,2.0025,86.9,12905962.051
300274.SZ,20240112,14.9078,5.1115,2.0254,87.89,13052991.9984
300274.SZ,20240115,14.7806,5.0679,2.0081,87.14,12941605.6746
300274.SZ,20240116,15.0757,5.1691,2.0482,88.88,13200021.9458
300274.SZ,20240117,14.672,5.0307,1.9933,86.5,12846556.0116
300274.SZ,20240118,15.3352,5.2581,2.0834,90.41,13427250.0463
300274.SZ,20240119,15.0944,5.1755,2.0507,88.99,13216358.6066
300274.SZ,20240122,14.8416,5.0888,2.0164,87.5,12995071.11
300274.SZ,20240123,15.5082,5.3174,2.1069,91.43,13578735.4467
300274.SZ,20240124,15.13,5.1877,2.0555,89.2,13247546.7773
300274.SZ,20240125,15.2657,5.2342,2.074,90.0,13366358.856
300274.SZ,20240126,14.7178,5.0464,1.9995,86.77,12886655.0882
300274.SZ,20240129,13.6509,4.6806,1.8546,80.48,11952495.1192
300274.SZ,20240130,13.5678,4.6521,1.8433,79.99,11879722.721
300274.SZ,20240131,13.2964,4.559,1.8064,78.39,11642098.5636
300274.SZ,20240201,13.6645,4.6852,1.8564,80.56,11964376.3271
300274.SZ,20240202,13.4508,4.6119,1.8274,79.3,11777247.3031
300274.SZ,20240205,13.5678,4.6521,1.8433,79.99,11879722.721
300274.SZ,20240206,14.2819,4.8969,1.9403,84.2,12504971.2853
300274.SZ,20240207,14.4566,4.9568,1.9641,85.23,12657941.8366
300274.SZ,20240208,14.5075,4.9742,1.971,85.53,12702496.3662
300274.SZ,20240219,14.4837,4.9661,1.9677,85.39,12681704.2524
300274.SZ,20240220,14.058,4.8201,1.9099,82.88,12308931.3554
300274.SZ,20240221,14.1971,4.8678,1.9288,83.7,12430713.7361
300274.SZ,20240222,14.2649,4.8911,1.938,84.1,12490119.7754
300274.SZ,20240223,14.4685,4.9609,1.9657,85.3,12668337.8935
300274.SZ,20240226,14.1937,4.8667,1.9283,83.68,12427743.4341
300274.SZ,20240227,14.2598,4.8893,1.9373,84.07,12485664.3225
300274.SZ,20240228,14.3972,4.9364,1.956,84.88,12605961.5522
300274.SZ,20240229,14.7924,5.072,2.0097,87.21,12952001.7315
300274.SZ,20240301,14.8535,5.0929,2.018,87.57,13005467.1669
300274.SZ,20240304,15.1775,5.204,2.062,89.48,13289131.0048
300274.SZ,20240305,15.3624,5.2674,2.0871,90.57,13451012.4621
300274.SZ,20240306,15.9917,5.4831,2.1726,94.28,14002003.4772
300274.SZ,20240307,15.5116,5.3185,2.1074,91.45,13581705.7487
300274.SZ,20240308,16.8601,5.7809,2.2906,99.4,14762400.781
300274.SZ,20240311,18.5173,6.3491,2.5157,109.17,16213393.2923
300274.SZ,20240312,18.4443,6.3241,2.5058,108.74,16149531.8
300274.SZ,20240313,18.139,6.2194,2.4643,106.94,15882204.6229
300274.SZ,20240314,18.1119,6.2101,2.4607,106.78,15858442.2072
300274.SZ,20240315,17.5929,6.0321,2.3901,103.72,15403986.006
300274.SZ,20240318,18.1628,6.2276,2.4676,107.08,15902996.7367
300274.SZ,20240319,17.9033,6.1386,2.4323,105.55,15675768.6361
300274.SZ,20240320,17.8049,6.1048,2.4189,104.97,15589629.879
300274.SZ,20240321,17.6234,6.0426,2.3943,103.9,15430718.7238
300274.SZ,20240322,17.4656,5.9885,2.3729,102.97,15292599.6822
300274.SZ,20240325,17.4029,5.967,2.3643,102.6,15237649.0958
300274.SZ,20240326,17.5471,6.0164,2.3839,103.45,15363886.9295
300274.SZ,20240327,17.3147,5.9368,2.3524,102.08,15160421.2447
300274.SZ,20240328,17.5047,6.0019,2.3782,103.2,15326758.1549
300274.SZ,20240329,17.6064,6.0368,2.392,103.8,15415867.2139
300274.SZ,20240401,18.4952,6.3415,2.5127,109.04,16194086.3295
300274.SZ,20240402,18.1662,6.2287,2.468,107.1,15905967.0386
300274.SZ,20240403,17.7896,6.0996,2.4169,104.88,15576263.5202
300274.SZ,20240408,17.5437,6.0153,2.3835,103.43,15360916.6275
300274.SZ,20240409,17.3316,5.9426,2.3547,102.18,15175272.7545
300274.SZ,20240410,16.8889,5.7908,2.2945,99.57,14787648.3477
300274.SZ,20240411,16.7566,5.7454,2.2765,98.79,14671806.5709
300274.SZ,20240412,16.3309,5.5994,2.2187,96.28,14299033.674
300274.SZ,20240415,16.9161,5.8001,2.2982,99.73,14811410.7634
300274.SZ,20240416,16.8092,5.7635,2.2837,99.1,14717846.2514
300274.SZ,20240417,16.8024,5.7611,2.2828,99.06,14711905.6475
300274.SZ,20240418,16.4734,5.6483,2.2381,97.12,14423786.3566
300274.SZ,20240419,16.1409,5.5343,2.1929,95.16,14132696.7637
300274.SZ,20240422,15.9425,5.4663,2.1659,93.99,13958934.0986
300274.SZ,20240423,14.3624,4.8333,1.9926,96.98,14402994.2428
300274.SZ,20240424,14.0988,4.7446,1.956,95.2,14138637.3677
300274.SZ,20240425,14.3491,4.8289,1.9907,96.89,14389627.884
300274.SZ,20240426,14.7016,4.9475,2.0396,99.27,14743093.8182
300274.SZ,20240429,15.7457,5.2988,2.1845,106.32,15790125.2619
300274.SZ,20240430,15.3058,5.1508,2.1234,103.35,15349035.4196
300274.SZ,20240506,15.6509,5.2669,2.1713,105.68,15695075.5989
300274.SZ,20240507,15.8316,5.3277,2.1964,106.9,15876264.019
300274.SZ,20240508,15.4702,5.2061,2.1462,104.46,15513887.1789
300274.SZ,20240509,15.7857,5.3123,2.19,106.59,15830224.3385
300274.SZ,20240510,15.8019,5.3178,2.1923,106.7,15846560.9993
300274.SZ,20240513,15.5502,5.233,2.1573,105.0,15594085.332
300274.SZ,20240514,15.2081,5.1179,2.1099,102.69,15251015.4547
300274.SZ,20240515,15.5739,5.241,2.1606,105.16,15617847.7477
300274.SZ,20240516,15.6835,5.2779,2.1758,105.9,15727748.9206
300274.SZ,20240517,15.023,5.0556,2.0842,101.44,15065371.5817
300274.SZ,20240520,15.0244,5.0561,2.0844,101.45,15066856.7327
300274.SZ,20240521,14.8097,4.9839,2.0546,100.0,14851509.84
300274.SZ,20240522,15.5324,5.2271,2.1549,104.88,15576263.5202
300274.SZ,20240523,15.1785,5.108,2.1058,102.49,15221312.435
300274.SZ,20240524,14.98,5.0412,2.0782,101.15,15022302.2032
300274.SZ,20240527,14.983,5.0422,2.0786,101.17,15025272.5051
300274.SZ,20240528,14.7786,4.9734,2.0503,99.79,14820321.6693
