ts_code,name,industry,market,list_date,act_name,total_mv,pe_ttm,pb,employees,mv_亿,top1_holder,top1_hold_ratio,latest_holder_end_date,founder_best_ratio,founder_best_rank,mgr_latest_ann_date,mgr_count,mgr_avg_age,mgr_high_edu_ratio,mgr_high_edu_count,mgr_edu_sample_n,founder_major_holder,young_mgmt,high_edu_mgmt,mgr_data_ok,all_match_proxy
001317.SZ,三羊马,铁路,主板,20211130,邱红阳,434331.9906,,4.3673,773.0,43.43319906,邱红阳,61.1965,20250930,61.1965,1.0,20251014,1.0,35.0,1.0,1.0,1.0,True,True,True,False,False
301192.SZ,泰祥股份,汽车配件,创业板,20220811,王世斌,269730.0,50.257,4.2245,595.0,26.973,王世斌,53.9039,20251231,53.9039,1.0,20251219,1.0,50.0,1.0,1.0,1.0,True,False,True,False,False
688707.SH,振华新材,电气设备,科创板,20210914,中国电子信息产业集团有限公司,744795.6601,,1.8681,2071.0,74.47956601,中国振华电子集团有限公司,24.6451,20250930,,,20251025,1.0,38.0,1.0,1.0,1.0,False,True,True,False,False
920873.BJ,中设咨询,建筑工程,北交所,20211115,黄华华,126084.1156,,4.8943,559.0,12.60841156,黄华华,16.4854,20250930,16.4854,1.0,20250923,1.0,52.0,0.0,0.0,1.0,True,False,False,False,False
001300.SZ,三柏硕,文教休闲,主板,20221019,朱希龙,449766.5613,,4.341,1031.0,44.97665613,青岛海硕健康产业发展有限公司,47.3047,20250930,,,20250910,1.0,37.0,1.0,1.0,1.0,False,True,True,False,False
920402.BJ,硅烷科技,化工原料,北交所,20220928,河南省人民政府国有资产监督管理委员会,397580.5831,,2.5785,677.0,39.758058309999996,河南平煤神马首山碳材料有限公司,35.3473,20251231,,,20251120,17.0,48.294117647058826,0.35294117647058826,6.0,17.0,False,False,False,True,False
001236.SZ,弘业期货,多元金融,主板,20220805,江苏省政府国有资产监督管理委员会,936225.5558,2344.8466,5.0203,636.0,93.62255558,江苏省苏豪控股集团有限公司,27.3331,20251231,,,20251220,1.0,33.0,0.0,0.0,1.0,False,True,False,False,False
688653.SH,康希通信,半导体,科创板,20231117,彭宇红,569652.16,,3.9843,178.0,56.965216000000005,彭宇红,9.3164,20250930,9.3164,1.0,20251126,1.0,34.0,1.0,1.0,1.0,True,True,True,False,False
603334.SH,丰倍生物,化工原料,主板,20251105,平原,766290.0,54.519,4.5135,360.0,76.629,平原,44.8234,20251231,44.8234,1.0,20251017,13.0,48.23076923076923,0.46153846153846156,6.0,13.0,True,False,False,True,False
301161.SZ,唯万密封,工程机械,创业板,20220914,董静,375720.0,51.7612,4.0769,642.0,37.572,董静,35.3325,20250930,35.3325,1.0,20250922,1.0,47.0,0.0,0.0,1.0,True,False,False,False,False
301516.SZ,中远通,电气设备,创业板,20231208,吉学龙,566736.8433,,4.3912,1522.0,56.67368432999999,深圳市中远通电源技术开发有限公司,39.2801,20250930,,,20251218,1.0,44.0,0.0,0.0,1.0,False,True,False,False,False
001324.SZ,长青科技,运输设备,主板,20230522,周银妹,286626.0,59.5387,2.5282,790.0,28.6626,常州长青实业投资集团有限公司,30.6,20250930,,,20251031,1.0,43.0,1.0,1.0,1.0,False,True,True,False,False
603097.SH,江苏华辰,电气设备,主板,20220512,张孝金,557593.3163,55.0709,5.1319,1309.0,55.75933162999999,张孝金,51.084,20250930,51.084,1.0,20250821,6.0,54.166666666666664,0.3333333333333333,2.0,6.0,True,False,False,True,False
688282.SH,理工导航,通信设备,科创板,20220318,汪渤,791736.0,,6.2177,232.0,79.1736,汪渤,10.2234,20251231,10.2234,1.0,,,,,,,True,False,False,False,False
601133.SH,柏诚股份,建筑工程,主板,20230410,过建廷,1296285.2309,69.4966,4.4298,1174.0,129.62852309000002,柏盈柏诚投资控股(无锡)有限公司,49.2407,20250930,18.9387,3.0,20250620,3.0,50.666666666666664,0.0,0.0,3.0,True,False,False,True,False
