ts_code,name,industry,list_date,trade_date,total_mv,pe_ttm,pb,fina_end_date,roe_used,roe,roe_yearly,pe_hist_n,pb_hist_n,pe_percentile_5y,pb_percentile_5y,total_revenue,n_income_attr_p,total_assets,total_liab,n_cashflow_act,market_cap_yi,debt_asset_ratio_pct,net_margin_pct,roa_est_pct,ocf_to_profit,value_score,valuation_low_by,latest_annual_end,revenue_yoy_pct,profit_yoy_pct
603132.SH,金徽股份,铅锌,20220222,20260414,1799520.0,27.5423,5.2761,20250930,14.3841,10.7881,14.3841,36,36,0.027777777777777776,0.3888888888888889,528197145.69,204927578.45,8830350637.87,5419634370.38,196184284.39,179.952,61.37507549402691,38.797555064841724,2.320718472618107,0.9573347124572925,0.027777777777777776,PE,20251231,11.997358571921698,13.691108797639599
000598.SZ,兴蓉环境,水务,19960529,20260414,1963477.7384,9.7968,0.9956,20250930,12.4979,9.3734,12.4979,36,36,0.027777777777777776,0.027777777777777776,6547780277.56,1764167822.74,49370674255.93,28466218956.27,2399067521.56,196.34777384,57.65815311475288,26.942990570193796,3.573311179820686,1.3598862254691346,0.027777777777777776,PE&PB,20241231,11.897977037222656,8.283792008893716
603733.SH,仙鹤股份,造纸,20180420,20260414,1546377.3595,16.0276,1.8664,20250930,12.4939,9.3704,12.4939,36,36,0.027777777777777776,0.027777777777777776,9062661847.9,778012412.09,25550294218.96,16980725041.69,918590448.3,154.63773595,66.45999805782739,8.584811230381293,3.0450232996247206,1.1806886805730523,0.027777777777777776,PE&PB,20241231,20.109945063533843,51.22648467948143
000682.SZ,东方电子,电气设备,19970121,20260414,1741604.3821,19.0967,2.9452,20250930,12.4349,9.3262,12.4349,36,36,0.027777777777777776,0.05555555555555555,5164644598.68,495015157.26,13265498006.66,7323422447.58,-354764561.56,174.16043821,55.206539881904504,9.584689668414317,3.731598745945878,-0.716674138876246,0.027777777777777776,PE&PB,20241231,16.46683307296937,26.34472492734281
601965.SH,中国汽研,汽车服务,20120611,20260414,1700178.0335,16.0377,2.1703,20250930,12.2029,9.1522,12.2029,36,36,0.027777777777777776,0.027777777777777776,3024393694.56,666071418.96,12867015511.78,3567309654.85,39051527.23,170.01780334999998,27.72445289728655,22.023304047950763,5.176580523666882,0.058629639582756486,0.027777777777777776,PE&PB,20241231,17.219461016552625,10.003568775872909
689009.SH,九号公司-WD,摩托车,20201029,20260414,3175355.0777,18.0606,4.6164,20250930,35.8984,26.9238,35.8984,36,36,0.05555555555555555,0.05555555555555555,21277876666.95,1758171535.84,21519835957.95,14258801680.77,4444116067.49,317.53550777,66.25887719884045,8.262908763687362,8.170004359120055,2.5276919668516524,0.05555555555555555,PE&PB,20251231,49.888444058452365,62.17395831090401
001337.SZ,四川黄金,黄金,20230303,20260414,2049600.0,43.9995,11.2073,20250930,30.8527,23.1395,30.8527,36,36,0.05555555555555555,0.1388888888888889,1026149563.13,465823988.03,2998315205.73,1169500587.28,645149841.08,204.96,39.00525818783158,45.39533073610889,15.536191363062034,1.384964831477187,0.05555555555555555,PE&PB,20251231,60.37747113252119,87.6882724027156
002517.SZ,恺英网络,互联网,20101207,20260414,3807141.843,19.7068,3.7269,20250930,25.1892,18.8919,25.1892,36,36,0.05555555555555555,0.05555555555555555,4075034147.51,1583464815.29,13168354491.03,2954220870.03,1317139633.09,380.7141843,22.43424470416825,38.857706658913685,12.024773606820974,0.8318085885910735,0.05555555555555555,PE&PB,20241231,19.155478759110157,11.408414299643114
002270.SZ,华明装备,电气设备,20080905,20260414,2397403.0279,33.7787,7.6297,20250930,24.436,18.327,24.436,36,36,0.05555555555555555,0.05555555555555555,2426794600.12,709737360.27,5208442684.19,2036070254.77,604031442.9,239.74030279000002,39.091728146503414,29.245876854798713,13.626671220255082,0.8510633323152283,0.05555555555555555,PE&PB,20251231,4.503984166498731,15.536192044576916
301061.SZ,匠心家居,家居用品,20210913,20260414,1545372.9207,16.9887,3.837,20250930,23.0639,17.2979,23.0639,36,36,0.05555555555555555,0.05555555555555555,2511429964.0,657534469.55,5118818579.8,1091286206.59,556602258.03,154.53729206999998,21.319103023038533,26.181676533903136,12.845434142651149,0.8464989803666484,0.05555555555555555,PE&PB,20241231,32.627207863454586,67.63621791207436
002311.SZ,海大集团,饲料,20091127,20260414,8037576.1051,16.0028,3.1808,20250930,22.4641,16.8481,22.4641,36,36,0.05555555555555555,0.05555555555555555,96094150423.09,4142427609.26,50815503883.14,24281714356.04,5017432819.17,803.7576105100001,47.78406687037968,4.310801012362805,8.151897143018216,1.2112300545588315,0.05555555555555555,PE&PB,20241231,-1.30567434350383,64.30405997406432
300893.SZ,松原安全,汽车配件,20200924,20260414,1045332.7979,28.5319,5.1255,20250930,21.4035,16.0526,21.4035,36,36,0.05555555555555555,0.1388888888888889,2678088203.92,366373098.93,4086953417.14,2047469173.94,26197123.7,104.53327979,50.097688056664815,13.680397023284312,8.964454975030849,0.07150394987107193,0.05555555555555555,PE&PB,20251231,35.8763945959345,40.70449902584624
002318.SZ,久立特材,特种钢,20091211,20260414,2936398.0136,17.2017,3.6006,20250930,20.9815,15.7361,20.9815,36,36,0.05555555555555555,0.05555555555555555,9746721458.13,1261622157.8,13431950700.44,5023197564.08,598226762.33,293.63980136000004,37.39737939862637,12.944067020071119,9.392694969902413,0.4741726820755748,0.05555555555555555,PE&PB,20241231,27.424835855847864,0.1235280484777594
603568.SH,伟明环保,环境保护,20150528,20260414,4217175.7935,15.4591,2.8845,20250930,20.378,15.2835,20.378,36,36,0.05555555555555555,0.05555555555555555,5880143836.28,2134946762.65,29948942534.97,13437872415.44,2296321626.88,421.71757935,44.8692717605946,36.307730254446426,7.128621520299492,1.0755873013103585,0.05555555555555555,PE&PB,20241231,19.03060826865211,31.994113669831542
601021.SH,春秋航空,空运,20150121,20260414,4637300.425,20.0108,2.5531,20250930,17.5144,13.1358,17.5144,36,36,0.05555555555555555,0.19444444444444445,21459531429.0,2317401673.0,46876574409.0,28713072937.0,6623358345.0,463.73004249999997,61.252498287262384,10.798938833623868,4.943624192289686,2.8580968168654635,0.05555555555555555,PE&PB,20251231,7.298047811827181,1.9559378150286177
600866.SH,星湖科技,饲料,19940818,20260414,1146416.105,8.949,1.3799,20250930,16.7259,12.5444,16.7259,36,36,0.05555555555555555,0.05555555555555555,12077319754.43,1015125264.79,17268051987.06,8769939640.0,1847071829.76,114.6416105,50.78708152240825,8.405219746025592,5.8786322021192365,1.819550644463672,0.05555555555555555,PE&PB,20241231,-0.2263059080589768,39.117471339831326
